table_name,column_name,Data_type,,table_name,column_name,Data_type
classes,id,int,,sent_sms,id,int
classes,grade_id,int,,sent_sms,sent_text,varchar
classes,class_number,int,,sent_sms,confirmation_number,int
classes,year_id,int,,sent_sms,students_schedule_id,int
classes_schedule,id,int,,sent_sms,parent_id,int
classes_schedule,day_id,int,,students,id,int
classes_schedule,hour_id,int,,students,first_name,varchar
classes_schedule,lesson_id,int,,students,last_name,varchar
classes_schedule,class_id,int,,students,mother_id,int
days,id,int,,students,father_id,int
days,day_name,varchar,,students,class_id,int
grades,id,int,,students,year_id,int
grades,grade_name,varchar,,students,picture_path,varchar
grades,grade_number,int,,students,home_phone,varchar
hours_in_day,id,int,,students,settlement,varchar
hours_in_day,hour_of_school_day,int,,students_schedule,id,int
hours_in_day,start_time,time,,students_schedule,day_id,int
hours_in_day,finish_time,time,,students_schedule,hour_id,int
hours_in_day,is_break,bit,,students_schedule,lesson_id,int
hours_in_day,year_id,int,,students_schedule,student_id,int
lesson_types,id,int,,tables_information,id,int
lesson_types,lesson_type_name,varchar,,tables_information,table_name,varchar
lessons,id,int,,tables_information,display_column_query,varchar
lessons,lesson_name,varchar,,tables_information,hebrew_name,varchar
lessons,teacher_id,int,,teacher_class_access,id,int
lessons,lesson_type_id,int,,teacher_class_access,teacher_id,int
lessons,priority,int,,teacher_class_access,class_id,int
lessons,has_evaluation,bit,,teacher_types,id,int
lessons,has_grade,bit,,teacher_types,teacher_type_name,varchar
lessons,description,varchar,,teachers,id,int
lessons_evaluations,id,int,,teachers,first_name,varchar
lessons_evaluations,evaluation,longtext,,teachers,last_name,varchar
lessons_evaluations,lesson_id,int,,teachers,teacher_type_id,int
lessons_evaluations,student_id,int,,teachers,user_id,int
lessons_grades,id,int,,teachers,year_id,int
lessons_grades,grade,int,,user_types,id,int
lessons_grades,lesson_id,int,,user_types,user_type_name,varchar
lessons_grades,student_id,int,,user_types,auth_level,int
parents,id,int,,users,id,int
parents,first_name,varchar,,users,user_name,varchar
parents,last_name,varchar,,users,password,varchar
parents,cellphone,varchar,,users,user_type_id,int
parents,email,varchar,,years,id,int
preferences,id,int,,years,year_name,year
preferences,name,varchar,,years,hebrew_year,varchar
preferences,value,varchar,,,,
received_sms,id,int,,,,
received_sms,received_text,varchar,,,,
received_sms,students_schedule_id,int,,,,
received_sms,parent_id,int,,,,
,,,,,,
